Date,number
2016-10-09,
2016-10-16,3.0
2016-10-23,1.0
2016-10-30,2.0
2016-11-06,2.0
2016-11-13,
2016-11-20,1.0
2016-11-27,4.0
2016-12-04,1.0
2016-12-11,
2016-12-18,5.0
2016-12-25,2.0
2017-01-01,
2017-01-08,
2017-01-15,
2017-01-22,4.0
2017-01-29,1.0
2017-02-05,
2017-02-12,1.0
2017-02-19,1.0
2017-02-26,3.0
2017-03-05,1.0
2017-03-12,
2017-03-19,2.0
2017-03-26,4.0
2017-04-02,1.0
2017-04-09,
2017-04-16,
2017-04-23,1.0
2017-04-30,1.0
2017-05-07,
2017-05-14,5.0
2017-05-21,1.0
2017-05-28,2.0
2017-06-04,1.0
2017-06-11,
2017-06-18,3.0
2017-06-25,1.0
2017-07-02,2.0
2017-07-09,2.0
2017-07-16,6.0
2017-07-23,1.0
2017-07-30,5.0
2017-08-06,1.0
2017-08-13,1.0
2017-08-20,1.0
2017-08-27,1.0
2017-09-03,2.0
2017-09-10,1.0
2017-09-17,
2017-09-24,2.0
2017-10-01,2.0
2017-10-08,1.0
2017-10-15,4.0
2017-10-22,1.0
2017-10-29,1.0
2017-11-05,4.0
2017-11-12,2.0
2017-11-19,
2017-11-26,2.0
2017-12-03,5.0
2017-12-10,3.0
2017-12-17,8.0
2017-12-24,4.0
2017-12-31,
2018-01-07,
2018-01-14,
2018-01-21,
2018-01-28,9.0
2018-02-04,
2018-02-11,2.0
2018-02-18,2.0
